,university,career,inscription_date,last_name,gender,fecha_nacimiento,age,location,email
0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIA_POLÍTICA_,2020-09-15,JONATHAN_HARRIS_MD,M,05-Oct-15,,CIUDAD_MADERO,RICHARD21@HOTMAIL.COM
1,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_PLANIFICACIÓN_Y_DISEÑO_DEL_PAISAJE,2020-09-20,JAMIE_HARRELL,F,18-Sep-67,,VILLA_ADELINA,JDALTON@HOTMAIL.COM
2,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_SOCIOLOGÍA_,2020-12-26,ROGER_GREGORY,M,22-May-87,,CANDELARIA,JUANMAY@HOTMAIL.COM
3,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_DE_LA_COMPUTACIÓN,2020-10-29,BRITTANY_LANDRY,F,20-Feb-08,,AGUA_SEBALLE,ITORRES@YAHOO.COM
4,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,BIOQUÍMICA,2020-10-26,DANIELLE_WHEELER,F,25-Aug-61,,BERMUDEZ,TIFFANYWASHINGTON@HOTMAIL.COM
5,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,2020-10-06,REBECCA_BENSON,F,06-Oct-51,,ATALIVA_ROCA,JMONROE@HOTMAIL.COM
6,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,ACTUARIO_,2021-01-20,KELSEY_WARD,F,23-Mar-00,,AERO_CLUB_ROSARIO,VERONICALEWIS@GMAIL.COM
7,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,DISEÑO_DE_IMAGEN_Y_SONIDO,2020-11-24,CHRISTINE_MITCHELL,F,25-Sep-12,,SAN_NICOLAS_DE_LOS_ARROYOS,MALONEJOSEPH@HOTMAIL.COM
8,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_AMBIENTALES,2020-09-16,MICHAEL_NIELSEN,M,21-Nov-18,,ABRA_DEL_TRIGO,FFLORES@GMAIL.COM
9,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIA_POLÍTICA_,2021-01-17,JESSICA_LI,F,02-Apr-54,,RIO_TALA,XGOLDEN@HOTMAIL.COM
10,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,ARQUITECTURA,2020-10-22,TODD_MENDOZA,M,29-Jan-48,,KILOMETRO_208,JBAKER@HOTMAIL.COM
11,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,DISEÑO_DE_IMAGEN_Y_SONIDO,2020-12-30,PEGGY_MEYER,F,01-Jan-41,,GOBERNADOR_DUVAL,SABRINA38@HOTMAIL.COM
12,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_BIOLÓGICAS,2020-11-26,RYAN_BROWN,M,02-Feb-98,,AGUADA_DE_PIEDRA,CALEB20@YAHOO.COM
13,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_PLANIFICACIÓN_Y_DISEÑO_DEL_PAISAJE,2020-09-12,JOANN_BENNETT,F,22-Sep-30,,CALEUFU,CNICHOLSON@HOTMAIL.COM
